30.00,0.00,1.00,0.40,0,0,0,0,0,0
Time (ms),Distance (mm),pid (N),pwm 1,pwm 2,pwm 3,pwm 4,acc x (m/s^2),acc y (m/s^2),acc z (m/s^2)
7102,0.05,-1.59,1200,1100,1100,1200,-0.14,-0.71,11.61
7112,0.06,-1.84,1208,1100,1100,1208,0.14,-1.05,11.09
7122,0.05,0.00,1100,1100,1100,1100,-0.57,-0.83,10.30
7132,0.05,-1.53,1198,1100,1100,1198,0.31,0.91,9.18
7142,0.05,-1.53,1198,1100,1100,1198,0.13,0.33,9.40
7152,0.05,0.00,1100,1100,1100,1100,-0.19,0.25,11.45
7162,0.05,0.00,1100,1100,1100,1100,0.29,-1.33,10.75
7172,0.05,0.00,1100,1100,1100,1100,-0.47,-0.40,9.86
7182,0.05,-1.53,1198,1100,1100,1198,-0.37,0.04,10.24
7192,0.05,0.00,1100,1100,1100,1100,0.30,0.65,10.59
7202,0.05,0.00,1100,1100,1100,1100,-0.31,-0.09,9.34
7212,0.05,-1.53,1198,1100,1100,1198,0.34,-0.20,10.16
7222,0.05,0.00,1100,1100,1100,1100,-0.01,0.13,9.99
7232,0.05,-1.56,1199,1100,1100,1199,-0.24,-0.45,11.74
7242,0.05,0.00,1100,1100,1100,1100,0.18,-0.08,10.09
7252,0.05,-1.56,1199,1100,1100,1199,-0.63,0.05,7.55
7262,0.05,-1.59,1200,1100,1100,1200,-0.50,-0.69,9.78
7272,0.05,-1.53,1198,1100,1100,1198,-0.39,0.29,8.67
7282,0.05,-1.59,1200,1100,1100,1200,-0.64,0.41,9.11
7292,0.05,0.00,1100,1100,1100,1100,-0.17,0.13,10.02
7302,0.06,-1.72,1205,1100,1100,1205,-0.35,0.56,9.43
7312,0.05,-1.59,1200,1100,1100,1200,0.07,0.35,8.33
7322,0.05,-1.56,1199,1100,1100,1199,-0.14,-0.17,9.96
7332,0.05,-1.62,1201,1100,1100,1201,-0.38,-0.40,9.76
7342,0.05,-1.53,1198,1100,1100,1198,0.12,-0.05,10.15
7352,0.05,0.00,1100,1100,1100,1100,0.22,-0.09,9.44
7362,0.05,-1.63,1202,1100,1100,1202,-0.23,-0.72,11.42
7372,0.05,0.00,1100,1100,1100,1100,0.17,-0.31,10.52
7382,0.05,-1.56,1199,1100,1100,1199,0.05,0.46,10.81
7392,0.06,-1.68,1203,1100,1100,1203,0.14,0.54,10.72
7402,0.05,-1.52,1198,1100,1100,1198,0.11,0.48,9.84
